code,name
947E,"GILA LOCAL EXCHANGE CARRIER, INC. - AZ"
2226,"MIDVALE TELEPHONE EXCHANGE, INC."
649C,"ONVOY, LLC - CA"
863F,FRONTIER COMMUNICATIONS OF THE SOUTHWEST INC - CA
5736,"COMMNET WIRELESS, LLC"
8826,"LEVEL 3 COMMUNICATIONS, LLC - CA"
5470,"LEVEL 3 COMMUNICATIONS, LLC - NM"
2286,"SOUTH CENTRAL UTAH TELEPHONE ASSOCIATION, INC."
6571,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - UT
410H,"WIDE VOICE, LLC - AZ"
2169,"SAN CARLOS APACHE TELECOMMUNICATIONS UTILITY, INC."
815D,HOPI TELECOMMUNICATIONS INCORPORATED - AZ
2191,ACCIPITER COMMUNICATIONS INC
657E,"COMCAST PHONE OF ARIZONA, LLC - AZ"
4793,"XO ARIZONA, INC."
7184,"MCLEODUSA TELECOMMUNICATIONS SERVICES, INC.- AZ"
7991,SADDLEBACK COMMUNICATIONS COMPANY
6906,"AMERICAN MESSAGING SERVICES, LLC"
722E,YMAX COMMUNICATIONS CORP. - AZ
2524,"GREAT WEST SERVICES, LTD. - ARIZONA"
347G,"MCC TELEPHONY OF THE WEST, LLC - AZ"
018J,"AIRUS, INC. - AZ"
815H,"RCLEC, INC. - AZ"
6908,"TOUCH TONE INTERACTIVE, INC."
663G,"RE-INVENT TELECOM, LLC - AZ"
890G,"INTRADO COMMUNICATIONS, LLC"
7389,"GEOTEK COMMUNICATIONS, INC."
232C,"CITYNET ARIZONA, LLC - AZ"
181J,ADVANCED TELECOM SOLUTIONS LLC
2356,"RIO VIRGIN TELEPHONE CO., INC."
100J,"CASCADE ACCESS, LLC - NV"
075F,"BANDWIDTH.COM CLEC, LLC - NV"
3402,CITIZENS TELECOMM DBA FRONTIER COMM GOLDEN STATE
7262,"XO CALIFORNIA, INC."
526H,"PEERLESS NETWORK OF UTAH, LLC - UT"
871E,"ONVOY, LLC - UT"
388E,"CEBRIDGE TELECOM CA, LLC DBA SUDDENLINK COMMS - CA"
183D,"VALLEY CONNECTIONS, LLC - AZ"
2174,SOUTHWESTERN TELEPHONE CO.
2173,TOHONO O'ODHAM UTILITY AUTHORITY
696F,"TIME WARNER CABLE INFO SVCS (ARIZONA), LLC - AZ"
7465,"BROOKS FIBER COMMUNICATIONS OF TUCSON, INC. - AZ"
