regionnum,regionname,exact_match
542,"Limington, ME (TCD)",
543,"Beddington, ME (TCD)",
544,"Phillips, ME (TCD)",
545,"Standish, ME (TCD)",
546,"Solon, ME (TCD)",
547,"South Bristol, ME (TCD)",
548,"Bridgton, ME (TCD)",
549,"New Vineyard, ME (TCD)",
550,"Athens, ME (TCD)",
551,"Richmond, ME (TCD)",
552,"Gray, ME (TCD)",
553,"West Lebanon, ME (TCD)",
554,"The Forks, ME (TCD)",
555,"Bryant Pond, ME (TCD)",
556,"Bowdoinham, ME (TCD)",
557,"Jackman, ME (TCD)",
558,"Rangeley, ME (TCD)",
559,"Bingham, ME (TCD)",
560,"West Paris, ME (TCD)",
561,"Steep Falls, ME (TCD)",
562,"North Berwick, ME (TCD)",
563,"New Harbor, ME (TCD)",
564,"Salem, ME (TCD)",
565,"Harmony, ME (TCD)",
566,"Strong, ME (TCD)",
567,"Readfield, ME (TCD)",
568,"Eliot, ME (TCD)",
569,"Pownal, ME (TCD)",
570,"Naples, ME (TCD)",
571,"North Fryeburg, ME (TCD)",
572,"Yarmouth, ME (TCD)",
573,"Waldoboro, ME (TCD)",
574,"Brooks, ME (TCD)",
575,"West Gardiner, ME (TCD)",
576,"Pembroke, ME (TCD)",
577,"West Buxton, ME (TCD)",
578,"West Enfield, ME (TCD)",
579,"Lubec, ME (TCD)",
580,"Dark Harbor, ME (TCD)",
581,"Mattawamkeag, ME (TCD)",
582,"Lee, ME (TCD)",
583,"Lincolnville, ME (TCD)",
584,"Kingman, ME (TCD)",
585,"Union, ME (TCD)",
586,"Sebago, ME (TCD)",
587,"Vanceboro, ME (TCD)",
588,"Lincolnville Beach, ME (TCD)",
589,"Princeton, ME (TCD)",
590,"Old Town, ME (TCD)",
591,"Orrington, ME (TCD)",
592,"Old Town Rural, ME (TCD)",
593,"Harpswell, ME (TCD)",
594,"West Bethel, ME (TCD)",
595,"Eddington, ME (TCD)",
596,"Washington, ME (TCD)",
597,"Eastport, ME (TCD)",
598,"Hampden, ME (TCD)",
599,"Vinal Haven, ME (TCD)",
600,"Locke Mills, ME (TCD)",
601,"Levant, ME (TCD)",
602,"Grand Isle, ME (TCD)",
603,"New Sweden, ME (TCD)",
604,"Old Orchard Beach, ME (TCD)",
605,"East Vassalboro, ME (TCD)",
606,"Lovell, ME (TCD)",
607,"New Gloucester, ME (TCD)",
608,"North Lovell, ME (TCD)",
609,"Monmouth, ME (TCD)",
610,"Hartland, ME (TCD)",
611,"Milo, ME (TCD)",
612,"Greene, ME (TCD)",
613,"Unity, ME (TCD)",
614,"Winter Harbor, ME (TCD)",
615,"Hebron, ME (TCD)",
616,"China, ME (TCD)",
617,"Palermo, ME (TCD)",
618,"Monson, ME (TCD)",
619,"Poland, ME (TCD)",
620,"Idaho Falls, ID (SYR)",
621,"Boise, ID (SYR)",
622,"Parma, ID (SYR)",
623,"Melba, ID (SYR)",
624,"Nampa, ID (SYR)",
625,"Hayden Lake, ID (SYR)",
626,"Coeur D'Alene, ID (SYR)",
627,"Twin Falls, ID (SYR)",
628,"Albeni, ID (SYR)",
629,"Harrison, ID (SYR)",
630,"Bayview, ID (SYR)",
631,"Sandpoint, ID (SYR)",
632,"Bruneau, ID (SYR)",
633,"Burley, ID (SYR)",
634,"Pocatello, ID (SYR)",
635,"Lakeview, ID (SYR)",
636,"Leon, ID (SYR)",
637,"Tygee Valley, ID (SYR)",
638,"Rigby, ID (SYR)",
639,"Payette, ID (SYR)",
640,"Setters, ID (SYR)",
641,"St Maries, ID (SYR)",
642,"Council, ID (SYR)",
643,"Indian Valley, ID (SYR)",
644,"Cambridge, ID (SYR)",
645,"Lowman, ID (SYR)",
646,"Rupert, ID (SYR)",
647,"Post Falls, ID (SYR)",
648,"Hope, ID (SYR)",
649,"Clark Fork, ID (SYR)",
650,"Bonners Ferry, ID (SYR)",
651,"Evergreen, ID (SYR)",
652,"Irwin, ID (SYR)",
653,"McCall, ID (SYR)",
654,"Rock Creek, ID (SYR)",
655,"Bluebell, ID (SYR)",
656,"Juliaetta, ID (SYR)",
657,"New Plymouth, ID (SYR)",
658,"Genesee, ID (SYR)",
659,"Kendrick, ID (SYR)",
660,"Fruitland, ID (SYR)",
661,"Lewiston, ID (SYR)",
662,"Moscow, ID (SYR)",
663,"Salmon, ID (SYR)",
664,"Priest River, ID (SYR)",
665,"Ketchum, ID (SYR)",
666,"Donnelly, ID (SYR)",
667,"Filer, ID (SYR)",
668,"Springfield, ID (SYR)",
669,"Arbon, ID (SYR)",
670,"Homedale, ID (SYR)",
671,"New Meadows, ID (SYR)",
672,"Raft River, ID (SYR)",
673,"Driggs, ID (SYR)",
674,"Midvale, ID (SYR)",
675,"Emmett, ID (SYR)",
676,"Mountain Home, ID (SYR)",
677,"Dubois, ID (SYR)",
678,"Cascade, ID (SYR)",
679,"Shoup, ID (SYR)",
680,"Aberdeen, ID (SYR)",
681,"Orofino, ID (SYR)",
682,"Caldwell, ID (SYR)",
683,"Weiser, ID (SYR)",
684,"Troy, ID (SYR)",
685,"Murtaugh, ID (SYR)",
686,"Weippe, ID (SYR)",
687,"Paul, ID (SYR)",
688,"Priest Lake, ID (SYR)",
689,"Grangeville, ID (SYR)",
690,"St Anthony, ID (SYR)",
691,"Garden Valley, ID (SYR)",
692,"Pierce, ID (SYR)",
